timestamp,close,high,low,trade_count,open,volume,vwap
2023-08-15 19:53:00+00:00,492.33,492.63,492.29,114,492.44,3748,492.488808
2023-08-15 19:54:00+00:00,492.26,492.59,492.24,202,492.44,8019,492.438264
2023-08-15 19:55:00+00:00,492.56,492.58,491.92,227,492.18,12222,492.213429
2023-08-15 19:56:00+00:00,492.5,492.6,492.49,149,492.5,2741,492.509089
2023-08-15 19:57:00+00:00,492.375,492.62,492.26,218,492.49,13256,492.505062
2023-08-15 19:58:00+00:00,492.67,492.78,492.45,271,492.48,13029,492.642996
2023-08-15 19:59:00+00:00,492.14,492.6,492.14,394,492.585,26309,492.428088
2023-08-15 20:00:00+00:00,492.37,492.37,492.37,4,492.37,7721,492.370221
2023-08-15 20:05:00+00:00,492.37,492.37,492.37,2,492.37,688,492.367311
2023-08-15 20:15:00+00:00,492.37,492.37,492.37,2,492.37,2,492.37
2023-08-15 20:43:00+00:00,492.01,492.01,492.01,15,492.01,173,492.142312
2023-08-16 12:00:00+00:00,493.22,493.22,493.22,2,493.22,423,493.206998
2023-08-16 12:02:00+00:00,492.89,492.89,492.89,7,492.89,143,492.682657
2023-08-16 12:03:00+00:00,492.64,492.64,492.64,11,492.64,364,492.62522
2023-08-16 13:15:00+00:00,492.59,492.59,492.59,1,492.59,100,492.59
2023-08-16 13:30:00+00:00,491.6,492.33,491.6,138,491.84,9704,491.844466
2023-08-16 13:31:00+00:00,490.91,491.39,490.65,149,491.39,10292,491.064872
2023-08-16 13:32:00+00:00,490.5,490.97,490.0,134,490.97,6349,490.536142
2023-08-16 13:33:00+00:00,490.62,490.9,490.5,85,490.69,4947,490.669105
2023-08-16 13:34:00+00:00,490.15,490.71,490.0,61,490.53,3343,490.410556
2023-08-16 13:35:00+00:00,489.83,490.24,489.71,85,490.0,4102,489.994394
2023-08-16 13:36:00+00:00,490.22,490.22,489.64,65,489.64,2599,489.912408
2023-08-16 13:37:00+00:00,490.58,491.28,490.54,67,490.54,2668,490.861257
2023-08-16 13:38:00+00:00,490.91,490.91,490.42,54,490.625,2977,490.622991
2023-08-16 13:39:00+00:00,491.22,491.88,490.8682,93,490.8682,8219,491.124931
2023-08-16 13:40:00+00:00,491.0,491.51,490.636,83,491.23,8227,491.2268
2023-08-16 13:41:00+00:00,491.54,491.54,490.88,75,491.0,5071,491.13695
2023-08-16 13:42:00+00:00,491.33,491.73,491.04,75,491.42,3656,491.539003
2023-08-16 13:43:00+00:00,490.77,491.46,490.77,69,491.08,3017,491.185266
2023-08-16 13:44:00+00:00,490.82,490.98,490.66,56,490.73,1692,490.830863
2023-08-16 13:45:00+00:00,489.85,490.83,489.85,85,490.8,2780,490.279154
2023-08-16 13:46:00+00:00,490.21,490.57,490.16,54,490.16,2329,490.314939
2023-08-16 13:47:00+00:00,491.18,491.18,490.32,68,490.32,3233,490.735744
2023-08-16 13:48:00+00:00,491.66,491.76,491.46,66,491.46,2183,491.598578
2023-08-16 13:49:00+00:00,491.57,492.005,491.49,70,491.59,4737,491.739865
2023-08-16 13:50:00+00:00,491.45,491.67,491.22,70,491.67,3394,491.434325
2023-08-16 13:51:00+00:00,491.29,491.73,490.88,70,491.73,1889,491.255768
2023-08-16 13:52:00+00:00,490.65,491.31,490.65,54,491.26,1945,490.839922
2023-08-16 13:53:00+00:00,490.37,490.92,490.37,51,490.64,1319,490.558492
2023-08-16 13:54:00+00:00,490.0,490.38,490.0,54,490.22,1085,490.253843
2023-08-16 13:55:00+00:00,490.42,490.55,489.7635,102,489.95,4643,490.070937
2023-08-16 13:56:00+00:00,490.31,490.31,490.25,41,490.25,740,490.302925
2023-08-16 13:57:00+00:00,490.68,490.9,490.57,58,490.79,1155,490.653537
2023-08-16 13:58:00+00:00,490.88,490.92,490.58,55,490.68,1627,490.762976
2023-08-16 13:59:00+00:00,490.48,490.64,490.42,61,490.64,2105,490.535379
2023-08-16 14:00:00+00:00,490.04,490.28,490.04,76,490.28,1645,490.144365
2023-08-16 14:01:00+00:00,488.605,490.07,488.605,80,490.07,2668,489.088924
2023-08-16 14:02:00+00:00,488.74,488.89,488.58,82,488.8,4545,488.753596
2023-08-16 14:03:00+00:00,488.51,488.78,488.33,91,488.58,3856,488.523765
2023-08-16 14:04:00+00:00,488.77,488.83,488.2,98,488.41,3778,488.59314
2023-08-16 14:05:00+00:00,489.25,489.25,488.79,84,488.79,3713,488.992803
2023-08-16 14:06:00+00:00,489.91,489.91,489.2,79,489.36,2990,489.488233
2023-08-16 14:07:00+00:00,489.9,490.16,489.9,71,490.13,2117,490.049741
2023-08-16 14:08:00+00:00,490.05,490.05,489.81,65,489.81,1957,489.896265
2023-08-16 14:09:00+00:00,490.33,490.4,489.63,88,489.88,3804,489.918092
2023-08-16 14:10:00+00:00,490.31,490.31,490.07,56,490.235,2179,490.216502
2023-08-16 14:11:00+00:00,490.555,490.78,490.55,76,490.6,3010,490.62999
2023-08-16 14:12:00+00:00,490.22,490.22,489.91,73,490.07,2549,490.128276
2023-08-16 14:13:00+00:00,490.04,490.34,489.85,52,490.34,2007,489.970766
2023-08-16 14:14:00+00:00,490.01,490.01,489.79,60,489.92,1130,489.876328
2023-08-16 14:15:00+00:00,490.43,490.43,489.78,68,489.81,2226,490.153064
2023-08-16 14:16:00+00:00,490.52,490.52,490.15,46,490.45,941,490.305442
2023-08-16 14:17:00+00:00,490.62,490.82,490.48,52,490.48,1091,490.60461
2023-08-16 14:18:00+00:00,490.98,490.98,490.44,60,490.5,1953,490.681119
2023-08-16 14:19:00+00:00,490.97,491.13,490.845,47,490.845,1816,490.999832
2023-08-16 14:20:00+00:00,490.98,491.31,490.66,72,490.9282,3277,491.012365
2023-08-16 14:21:00+00:00,490.88,490.94,490.74,61,490.94,1766,490.82829
2023-08-16 14:22:00+00:00,490.82,491.0,490.81,36,491.0,867,490.863754
2023-08-16 14:23:00+00:00,490.59,490.67,490.5,55,490.67,1196,490.565045
2023-08-16 14:24:00+00:00,490.14,490.57,490.14,56,490.57,1144,490.369413
2023-08-16 14:25:00+00:00,489.89,490.15,489.8,56,490.15,1386,489.906974
2023-08-16 14:26:00+00:00,489.87,490.03,489.495,49,489.495,1596,489.824415
2023-08-16 14:27:00+00:00,489.53,490.045,489.53,47,489.94,1253,489.63267
2023-08-16 14:28:00+00:00,489.3,489.615,489.3,62,489.33,3318,489.496728
2023-08-16 14:29:00+00:00,489.34,489.34,489.23,38,489.23,643,489.342787
2023-08-16 14:30:00+00:00,489.73,489.81,489.36,40,489.47,1314,489.554539
2023-08-16 14:31:00+00:00,490.07,490.07,489.8,50,489.83,1263,489.88903
2023-08-16 14:32:00+00:00,489.77,490.33,489.65,52,490.33,1368,490.008467
2023-08-16 14:33:00+00:00,489.92,490.17,489.65,53,489.66,1389,489.894104
2023-08-16 14:34:00+00:00,489.68,490.115,489.68,60,489.75,1952,489.892074
